,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
40906,SARI,medium_airport,Cataratas Del Iguazú International Airport,916.0,SA,AR,AR-N,Puerto Iguazu,SARI,IGR,IGU,"-25.737301, -54.4734"
40907,SARL,medium_airport,Paso De Los Libres Airport,230.0,SA,AR,AR-W,Paso de los Libres,SARL,AOL,LIB,"-29.6894, -57.1521"
40908,SARM,medium_airport,Monte Caseros Airport,170.0,SA,AR,AR-W,Monte Caseros,SARM,MCS,MCS,"-30.2719, -57.6402"
40910,SARP,medium_airport,Libertador Gral D Jose De San Martin Airport,430.0,SA,AR,AR-N,Posadas,SARP,PSS,POS,"-27.3858, -55.9707"
40913,SASA,medium_airport,Martin Miguel De Guemes International Airport,4088.0,SA,AR,AR-A,Salta,SASA,SLA,SAL,"-24.856000900299996, -65.4861984253"
40914,SASJ,medium_airport,Gobernador Horacio Guzman International Airport,3019.0,SA,AR,AR-Y,San Salvador de Jujuy,SASJ,JUJ,JUJ,"-24.392799, -65.097801"
40916,SASO,medium_airport,Orán Airport,1171.0,SA,AR,AR-A,Orán,SASO,ORA,ORA,"-23.1527996063, -64.3292007446"
40919,SAST,medium_airport,General Enrique Mosconi Airport,1472.0,SA,AR,AR-A,Tartagal,SAST,TTG,TAR,"-22.619600296, -63.7937011719"
40920,SATC,small_airport,Clorinda Airport,206.0,SA,AR,AR-P,Clorinda,SATC,CLX,CLO,"-25.3036, -57.7344"
40921,SATD,small_airport,El Dorado Airport,685.0,SA,AR,AR-N,El Dorado,SATD,ELO,ELD,"-26.3974990845, -54.5746994019"
40922,SATG,medium_airport,Goya Airport,128.0,SA,AR,AR-W,Goya,SATG,OYA,GOY,"-29.1058, -59.2189"
40924,SATK,small_airport,Alferez Armando Rodriguez Airport,426.0,SA,AR,AR-P,Las Lomitas,SATK,LLS,ITA,"-24.7213993073, -60.5488014221"
40925,SATM,small_airport,Mercedes Airport,358.0,SA,AR,AR-W,Mercedes,SATM,MDX,RCE,"-29.2213993073, -58.0877990723"
40927,SATR,medium_airport,Reconquista Airport,160.0,SA,AR,AR-S,Reconquista,SATR,RCQ,RTA,"-29.2103, -59.68"
40928,SATU,medium_airport,Curuzu Cuatia Airport,229.0,SA,AR,AR-W,Curuzu Cuatia,SATU,UZU,CCA,"-29.7706, -57.9789"
